Work_Unit_Code,Alternate_WUC,MDS,Minimum_SN_Inclusive,Maximum_SN,QPA,QPA_Description,Clues,Names
422A0,"42BA0,4221P",C130H,6900005829,6900005830,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6900005833,6900005834,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6900006566,6900006567,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6900006580,6900006581,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,6900006582,6900006584,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7000001259,7000001277,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7200001292,7200001300,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001580,7300001596,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001580,7300001581,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001581,7300001582,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001583,7300001589,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001590,7300001591,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001592,7300001593,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001592,7300001593,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001594,7300001596,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300001594,7300001596,4,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4"
422A0,"42BA0,4221P",C130H,7300003300,7300003301,5,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4,apu"
422A0,"42BA0,4221P",C130H,7400001658,8300000494,5,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4,apu"
422A0,"42BA0,4221P",C130H,8400000204,9000009109,5,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4,apu"
422A0,"42BA0,4221P",C130H,9100001231,9200001539,5,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4,apu"
422A0,"42BA0,4221P",C130H,9200003021,9300002043,5,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4,apu"
422A0,"42BA0,4221P",C130H,9300007311,9600007326,5,Total: 4 or 5 depending on Aircraft model  mounted on the electrical control and supply rack,GCU,"1,2,3,4,apu"
42DLA,,C130J,,,13,,,"1,2,3,4,5,6,7,8,9,10,11,12,13"
453AS,,C130H,,,1,,,
46620,,C130H,,,1,,,
46621,,C130H,,,18,,"FQI,F/Q,FQG","LH_AUX,RH_AUX,RH_EXT,LH_EXT,1,2,3,4"
491A0,,C130J,,,1,,,
5114K,,C130H,0,8500000036,2,Total:  2 to 3 depending on Aircraft Airplane Prior to AF85-0035 Loacated: 1.  Main Instrument Panel- 1 Each 2.  Navigator's Instrument Panel- 1 Each   After AF85-0035 Aircraft 1.  Main Instrument Panel - 2 Each 2.  Navigator's Instrument Panel- 1 Each,altimeter,"copilot,nav"
5114K,,C130H,8500000036,1.00E+12,3,Total:  2 to 3 depending on Aircraft Airplane Prior to AF85-0035 Loacated: 1.  Main Instrument Panel- 1 Each 2.  Navigator's Instrument Panel- 1 Each   After AF85-0035 Aircraft 1.  Main Instrument Panel - 2 Each 2.  Navigator's Instrument Panel- 1 Each,altimeter,"pilot,copilot,nav"
526DA,,C130H,,,2,Total: 2 Pilot Panel Assembly: 1 Each Copilot Panel Assembly: 1 Each,ADI,"pilot,copilot"
526DD,,C130H,,,2,Total: 2 Pilot Panel Assembly: 1 Each Copilot Panel Assembly: 1 Each,HSI,"pilot,copilot"
526DE,,C130H,,,4,Total: 4 Pilot Panel Assembly: 2 Each Co-Pilot Panel Assembly: 2 Each,EFI,"pilot_upper,pilot_lower,copilot_upper,copilot_lower"
64BAD,,C130J,,,7,,ICS,"pilot,copilot,aug_crew,aft_center_console,aft_cargo,fwd_cargo,observer"
64BAD,,WC-130J,,,9,,ICS,"pilot,copilot,aug_crew,aft_center_console,aft_cargo,fwd_cargo,observer,arwo,dso"
64BAD,,EC-130J,,,9,,ICS,"pilot,copilot,aug_crew,aft_center_console,aft_cargo,fwd_cargo,observer,rh_aft,lh_aft"
71GE0,,C130H,0,9300001036,1,"Total: 1 to 2 depending on Aircraft    Airplanes modified by TO 1C-130-1486 are equipped with two INUs located in the electrical control and supply rack. DUAL INU airplanes   Dual INU airplanes: LC-130H AF92-1094 and up, HC-130(H)N AF92-2104 and up,  C-130H AF93-1036 and up. ",INU,1
71GE0,,C130H,9300001036,1.00E+12,2,"Total: 1 to 2 depending on Aircraft    Airplanes modified by TO 1C-130-1486 are equipped with two INUs located in the electrical control and supply rack. DUAL INU airplanes   Dual INU airplanes: LC-130H AF92-1094 and up, HC-130(H)N AF92-2104 and up,  C-130H AF93-1036 and up. ",INU,"1,2"
71GE0,,LC-130H,,9200001094,1,"Total: 1 to 2 depending on Aircraft    Airplanes modified by TO 1C-130-1486 are equipped with two INUs located in the electrical control and supply rack. DUAL INU airplanes   Dual INU airplanes: LC-130H AF92-1094 and up, HC-130(H)N AF92-2104 and up,  C-130H AF93-1036 and up. ",INU,1
71GE0,,LC-130H,9200001094,,2,"Total: 1 to 2 depending on Aircraft    Airplanes modified by TO 1C-130-1486 are equipped with two INUs located in the electrical control and supply rack. DUAL INU airplanes   Dual INU airplanes: LC-130H AF92-1094 and up, HC-130(H)N AF92-2104 and up,  C-130H AF93-1036 and up. ",INU,"1,2"
71GE0,,HC-130H,,9200002104,1,"Total: 1 to 2 depending on Aircraft    Airplanes modified by TO 1C-130-1486 are equipped with two INUs located in the electrical control and supply rack. DUAL INU airplanes   Dual INU airplanes: LC-130H AF92-1094 and up, HC-130(H)N AF92-2104 and up,  C-130H AF93-1036 and up. ",INU,1
71GE0,,HC-130H,9200002104,,2,"Total: 1 to 2 depending on Aircraft    Airplanes modified by TO 1C-130-1486 are equipped with two INUs located in the electrical control and supply rack. DUAL INU airplanes   Dual INU airplanes: LC-130H AF92-1094 and up, HC-130(H)N AF92-2104 and up,  C-130H AF93-1036 and up. ",INU,"1,2"
71GE0,,HC-130N,,9200002104,1,"Total: 1 to 2 depending on Aircraft    Airplanes modified by TO 1C-130-1486 are equipped with two INUs located in the electrical control and supply rack. DUAL INU airplanes   Dual INU airplanes: LC-130H AF92-1094 and up, HC-130(H)N AF92-2104 and up,  C-130H AF93-1036 and up. ",INU,1
71GE0,,HC-130N,9200002104,,2,"Total: 1 to 2 depending on Aircraft    Airplanes modified by TO 1C-130-1486 are equipped with two INUs located in the electrical control and supply rack. DUAL INU airplanes   Dual INU airplanes: LC-130H AF92-1094 and up, HC-130(H)N AF92-2104 and up,  C-130H AF93-1036 and up. ",INU,"1,2"
72K00,,C130J,,,1 and 2 ?,,UNKNOWN,"cursor_control,other"
82LC0,,C130J,,,4,Total: 4 to 6 per Aircraft All C-130J: 4 Each on Main Instrument Panel EC-130J / WC-130J - 2 Additional CMDU on Augmented crew station ,Instrument Panel (HDD),"1,2,3,4"
82LC0,,EC-130J,,,6,Total: 4 to 6 per Aircraft All C-130J: 4 Each on Main Instrument Panel EC-130J / WC-130J - 2 Additional CMDU on Augmented crew station ,Instrument Panel (HDD),"1,2,3,4,5,6"
82LC0,,WC-130J,,,6,Total: 4 to 6 per Aircraft All C-130J: 4 Each on Main Instrument Panel EC-130J / WC-130J - 2 Additional CMDU on Augmented crew station ,Instrument Panel (HDD),"1,2,3,4,5,6"
